Genes (Variables) ,Aged ,APP ,DAM 1,DAM 2,MgnD,Microglía AQP4 CC neonatal,Microglía AQP4 AC neonatal,WAM,LDAM,CD11c,PAM,ATM
Pld4,-0.0100175405543994,-0.148685396372998,-0.0175889351135056,-0.104743994548148,-0.0862061667967585,0.156477240516302,0.0774313471376711,,-0.0351645276619741,0.0215555551181365,0,0
Ctss,0.0316397277416023,-0.00779870380732646,0.140001457075844,0.0456940835182423,0.108171177710079,0.167304279511889,0.0844695023519634,0.332158105005992,0.106430084459393,-0.0399129723698287,-0.128476710061573,-0.169942838528121
Csf1,0.180575405348857,0.379118728514111,0.754706392689255,0.575776482363117,0.565881707514636,0.147469827658782,0.0527707661306371,,-0.0997393366253004,0.345116248080813,0.434713332215785,0.242135761436506
Ucp2,-0.0111452707738575,0.0811932903555755,0.0290390563539484,0.0426077773577471,0.163527932268416,0.146775820088528,-0.0193671380196291,,0.0414409846376623,0.0982294527836129,0,0
Csf3r,-0.0484476959096762,-0.0831619059424544,-0.0564415184979049,0.0174974881414652,0.0530461945962359,0.188457917042126,0.0368189872681818,,-0.0188616342739243,0.0296154727902029,-0.129363455947028,-0.124689049164198
Hexb,-0.0372990374363409,-0.0837284981832825,0.0053049896786161,-0.0133006607151279,0.0475481040083577,0.148507655268373,0.13764450900131,0.760151428379021,0.0368444198158119,0.0398189917313224,0,-0.110371286374705
Tfec,0,0,0,0,0,0.167564167599301,0.0793099185572816,,0,0,0,0
Ctsb,0.0609174221182475,0.178954617631463,0.360730826932053,0.26703222103804,0.302648393480619,0.136853954531496,0.0614077094899951,0.941127360760301,0.100352817764638,0.195492275153553,0.418476500785187,0.281000890257677
Fyb,0.090673951057978,-0.00996552475934593,-0.0617881679751248,-0.0292608635096772,0.0135164388197291,0.170476810761173,0.0818329893891044,,-0.0326312554034723,-0.0541246615615528,0,-0.124689049164198
Tyrobp,0.053629667973778,0.115819309451372,0.204166535158392,0.257368178806739,0.353697741958252,0.216424046524078,0.232608450020835,0.734120924046253,0.104374215106955,0.117099862522115,0,0
Pik3cg,-0.0308577704069769,-0.0593954225355728,-0.156558070242384,-0.064076075448877,-0.0677123733330296,0.141504488392221,0.0684634445581034,,0.109875765053809,0.0132456939931421,0,0
Gusb,0.0651373430682511,0.125630706605904,0.174300121032636,0.260295744140153,0.34884133464786,0.139042546898329,0.0786003407892656,0.216060775065033,-0.0171626810939098,0.0855027800877261,0.249094668371058,0.144401914154741
Tbxas1,-0.0265480300088376,0.000679587954683759,-0.0634283459924909,-0.0509286390799244,0.111758370033437,0.141421269099124,0.152152123564985,,-0.0512017919375842,0.00188603171272712,0,0
Cd86,-0.0374479502948377,-0.00909755258439976,0.0500493384754713,-0.0276898086646195,-0.0159023322489244,0.303003638289271,0.0137261222907279,,0.0647457835206975,0.0693680345156061,0.152677184050444,0
Ggta1,-0.037694193216693,-0.136314247951831,-0.372244325628333,-0.481917899677694,-0.385434466407576,0.142433870405123,0.132805205644601,,-0.0115869576704561,-0.059216065458407,0,0
Renbp,0.0492550903665521,0.0440360364972877,0.182685134581667,0.0621092380247122,0.125883582929812,0.201150471428991,0.0777942179577311,,0.124435830710406,0.061640800531159,0.200210918102158,0
Clec5a,0.00384402924200312,0.00539514924108648,-0.0479044871449467,-0.0816121092538576,-0.0181044472033632,0.175835774552014,0.177092643088204,,-0.0721750597718266,0.051180043101231,0,0
Adgre1,-0.0205616334127462,-0.00113599345190595,0,0,0,0.176829912877252,0.148990301076633,,0,0,0,0
Ehd4,0,0,0.0635286751329358,0.0392911984026404,0.0717202476514385,0.171955568077326,0.0237908252902472,,0.0605655822816966,0.0871574102722114,0,0
Gpr137b,0.00623839385814276,0.00489161852434218,0.0320066713264449,0.0134185598431523,0.0551317995102746,0.138679798575134,0.0130591070796307,,0.0900729752795763,0.14836227019163,0.2515377467255,0.164271539637834
Lilrb4a,0,0,0,0,0,0.30048358547271,0.211914634091228,,0,0,0,0.24426337178582
Cx3cr1,-0.0453756289866277,-0.19467205284766,-0.173991463877053,-0.193043067461212,-0.140397585518408,0.103368282210856,0.0614283227806561,,-0.147265286058457,-0.0434890142408233,0,-0.246557891439878
Nckap1l,-0.0761139587150877,-0.0750897414582003,-0.0766448878369542,-0.0657264071256624,-0.0306054507381757,0.149937106586888,0.102931107793952,,0.0524415984146149,-0.00596636663327378,0,0
Cd37,-0.00327268358764908,-0.00128161131497319,-0.190213884522725,-0.0319799926591254,0.049555211920935,0.136921079142455,0.0519173349690005,,-0.037959219126057,-0.032630093901629,0,0
Ccl6,0.196917146590716,0.296804453034224,0.485186784753833,0.414593600462907,0.518009876221135,0.191144936766662,0.0617838281118603,,-0.0296536794914514,0.183146551552734,0,0.235354558337629
Gpr34,-0.0944694257998784,-0.102118664862638,-0.233317321947815,-0.120048513277928,-0.0288915261742764,0.148566145729986,0.324909185591995,0.0392671169992496,0.0155028452837268,-0.038958744817498,0,-0.245221077095234
Cd53,-0.0214274061446392,-0.00916016805466431,-0.0589219037674009,-0.0377488575756642,0.00473356286870654,0.152665939088354,0.129943946830638,,0.0558978336238518,0.0063646771256766,0,-0.13344061282471
Ly9,0.524266815745013,0.206670602688201,0.363660948186906,0.186356178055117,0.247577666345553,0.0984046790673839,0.0387618683245326,,0.176171204221175,0.145828657616621,0,0
Cd83,0.119194434256516,0.0105916091493526,0.374610215252154,0.18606278369174,0.186132767492659,0.0986689253291329,0.0843010153173652,,0.0381828015273973,0.186227509155675,0.178882718790022,0
Tlr13,-0.0195992733358686,-0.0687939145642917,-0.112670846497356,-0.138079300453413,-0.0270325172140527,0.132931851891119,0.233486556026413,,-0.0215279499935903,0.00795975547124253,0,0
C1qb,0.0377568991593076,0.028847197410324,0.0659173801505486,0.0943791358414753,0.0949204302597555,0.164179339768159,0.0786422072211245,1.04172660471062,0.128045252377511,0.0449959384425855,0,0
Vav1,-0.0524878092021944,-0.0911885568284875,-0.189074986747532,-0.115241297069338,-0.0376199881773062,0.106149029492212,0.133992411777062,1,-0.0382514901469243,-0.0203893852770964,0,0
Rnasel,-0.0684732495028166,-0.0434548070452037,-0.317207818486383,-0.266783163238478,-0.0519572138157657,0.13911558882313,0.0130970441575557,,-0.0610533149089474,0.0864462197114357,0,0
Adarb2,0.0317496566006224,0.00180070274999482,0,0,-0.0712753801200339,0.107324195173384,0.0285295117652378,,0,0,0,0
Dab2,0.099485414514433,-0.0282383538347088,-0.38536597424315,0.198757947181591,0.183071656499046,0.106922668967994,0.049265504352553,,0.0116163190035347,0.210127992465732,0,0.150397602992721
Cd14,-0.00930721140028178,0.416487470579364,0.0133424478866796,-0.0229076480554547,0.0508831405378115,0.111276849999338,0.0858745921100494,,-0.0586151183332217,0.0792410726218898,-0.111929504081224,0
C1qa,-0.0180285174136287,-0.0355687957620974,0.0743207014764917,-0.0117856827258888,0.0674328943136245,0.121495699645595,0.0268533267668709,,-0.0203711854169815,-0.00086967774077577,-0.0977468850358308,-0.154689601138781
Abca1,-0.00485608625689986,0.00600466086624175,-0.0205619676997916,-0.209493819981135,-0.0661743967389026,0.140194198365945,-0.101054989752867,,0.114898656535548,0.15051308586616,0.366035142598,0
Anxa3,0.131079059752947,0.000772532079761941,0.19321016384543,0.163962396156086,0.172555607355466,0.0994568303104192,0.187928212013656,,0.095694444221839,0.0139384322876567,0,0
Lilr4b,0,0,0,0,0,0.159377621592215,-0.0251282257159978,,0,0,0,0
Olfml3,-0.0772376964944316,-0.0938235814777406,-0.0357143364689602,-0.0956520471647668,0.0779017097780733,0.10569677586369,0.311803823971466,0.504443695849605,-0.0760646090323263,-0.0707240129471191,0,-0.205295297667432
Ptpn6,0.0720843351665382,0.00535490064753745,0.0627281867297434,-0.0269441298937006,0.0568180988299377,0.152313070252654,0.118586150002657,0.158667321059534,-0.0051141349172423,-0.000820655811444621,0,0
Lcp1,0.0322321347856356,-0.091840597801897,0.0631417402427746,-0.0824260284760869,0.0110231839853298,0.119349520901767,0.0271304902442485,,0.0804019996984734,-0.0203796635343526,0,-0.118622267802287
Cyba,0.0565759648226656,0.0120754109547642,0.0861973462859375,0.0315503987965825,0.153653782672854,0.0968481940860079,0.0513194564247965,0.65204737040607,0.0308953444471286,0.124267109890049,0,0.126678303301083
Pros1,-0.0227847857751836,-0.0489057210249711,-0.0186495643509116,0.0354639879468406,0.0094393023560774,0.146403668576898,0.0710487291281154,,0.0140713374883164,0.0166870521952187,0.197169925176277,0
Ctsa,-0.0840248823474575,0.0506298723429878,0.189945640551731,0.133819542950699,0.230802469145572,0.122282345237482,0.0761387155356818,,0.0966642535344693,0.11166938736928,0.275072861873682,0.15187408529815
Naglu,0.124126669237857,0.139299060360589,0.134099537614876,0.114037715475515,0.214550854595411,0.125856217109398,0.0135685456202926,,0.0038914158642023,0.0772661900544149,0.205619122130862,0
Abcg3,-0.0601235813104213,-0.03097183770143,0.0745081402880969,0.0672251250942225,-0.223599490423685,0.138992307546544,0.0479087888772012,,0.167262582526952,0.178544046019705,0.111147771346674,0
Gpr157,0,0,0.0745081402880969,0.0672251250942225,0.0291121536874863,0.154153804445381,-0.00126843564606373,,-0.00848599287157949,0.093154553939743,0.191356720708584,0
Mertk,-0.0789613428663727,-0.0470571354276517,-0.110447549908665,-0.131326848406433,-0.0470990215145812,0.0966479735136764,0.010684954712267,,-0.0045174642027747,-0.0116015698444713,0,-0.120225580073138
Cd9,0.30036401035958,0.119201885319083,0.444545714161859,0.24145833941097,0.21393838910646,0.0737467882239392,0.0119468826835219,,0.11950106458371,0.183280345162869,0.366825858514117,0.336392869860468
Peli2,-0.00336755161895475,0.111800588340429,0.0357945627551081,-0.0580228585134927,0.132163283051847,0.0746572300676378,-0.0382191919335207,,0.0925646884889189,0.0328147065932688,0,0
Aif1,0.0050465163842922,-0.0958334637099911,-0.0758073189907313,-0.0336220675248366,0.0342134601361273,0.120892969601357,0.128507668180883,,0.0786435975173094,0.0198165099298554,0,-0.154227770842873
Hpgd,-0.126273414149881,-0.104333156816188,0.0119117786791582,-0.108439462697168,-0.0601273335553019,0.141051108014873,0.113117620326117,,0.0693749054022397,-0.0582804003177892,-0.206695004779134,-0.193120980407215
Lgals1,0.308334704027035,-0.0473395481307848,-0.0762417191271611,0.0876517632136781,0.140065262436996,0.00970824558980123,0.0229990836423534,0.108301284180928,-0.221174980909792,0.476693200042066,0,0.325162850096499
Lgals3,0.597011280560881,0.354252986152893,0.2403623299076,0.281929221573682,0.208588045950121,0.00273018555671005,0.00646787984472538,0.306949348023552,-0.3326662191981,0.574477319351663,0,0.409766504409552
